"";"X";"Security...1";"GTBRL1YR.Corp";"...3";"...4";"Security...5";"GTBRL2YR.Corp";"...7";"...8";"Security...9";"GTBRL3YR.Corp";"...11";"...12";"Security...13";"GTBRL4YR.Corp";"...15"
"1";1;"Start Date";"36810";NA;NA;"Start Date";"36810";NA;NA;"Start Date";"36810";NA;NA;"Start Date";"36810";NA
"2";2;"End Date";"44845";NA;NA;"End Date";"44845";NA;NA;"End Date";"44845";NA;NA;"End Date";"44845";NA
"3";3;"Period";"M";NA;NA;"Period";"M";NA;NA;"Period";"M";NA;NA;"Period";"M";NA
"4";4;"Currency";"BRL";NA;NA;"Currency";"BRL";NA;NA;"Currency";"BRL";NA;NA;"Currency";"BRL";NA
"5";5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6";6;"Date";"PX_LAST";"YLD_CNV_LAST";NA;"Date";"PX_LAST";"YLD_CNV_LAST";NA;"Date";"PX_LAST";"YLD_CNV_LAST";NA;"Date";"PX_LAST";"YLD_CNV_LAST"
"7";7;"2022-09-30";"13.167199999999999";"13.167199999999999";NA;"2022-09-30";"11.887549999999999";"11.887499999999999";NA;"2022-09-30";"11.678100000000001";"11.678100000000001";NA;"44834";"11.789199999999999";"11.789199999999999"
"8";8;"2022-08-30";"13.368650000000001";"13.3687";NA;"2022-08-30";"12.3222";"12.3222";NA;"2022-08-30";"12.013999999999999";"12.013999999999999";NA;"44804";"12.02225";"12.0223"
"9";9;"2022-07-30";"13.82025";"13.8203";NA;"2022-07-30";"13.449529999999999";"13.4495";NA;"2022-07-30";"12.841950000000001";"12.842000000000001";NA;"44377";"8.0593000000000004";"8.0593000000000004"
"10";10;"2022-06-30";"13.77745";"13.7775";NA;"2022-06-30";"13.50691";"13.5069";NA;"2022-06-30";"12.9237";"12.9237";NA;"44347";"7.9466000000000001";"7.9466000000000001"
"11";11;"2022-05-30";"13.41222";"13.4122";NA;"2022-05-30";"12.989420000000001";"12.9894";NA;"2022-05-30";"12.532999999999999";"12.532999999999999";NA;"44316";"7.8834999999999997";"7.8834999999999997"
"12";12;"2022-04-30";"13.0587";"13.0587";NA;"2022-04-30";"12.6912";"12.6912";NA;"2022-04-30";"12.29195";"12.292";NA;"44286";"8.1412499999999994";"8.1412999999999993"
"13";13;"2022-03-30";"12.745050000000001";"12.745100000000001";NA;"2022-03-30";"12.15945";"12.1595";NA;"2022-03-30";"11.4886";"11.4886";NA;"44253";"7.3201000000000001";"7.3201000000000001"
"14";14;"2022-03-02";"12.4779";"12.4779";NA;"2022-03-02";"12.05045";"12.0505";NA;"2022-03-02";"11.401350000000001";"11.401400000000001";NA;"44225";"6.1808500000000004";"6.1809000000000003"
"15";15;"2022-01-30";"12.28";"12.28";NA;"2022-01-30";"11.8413";"11.8413";NA;"2022-01-30";"11.248749999999999";"11.248799999999999";NA;"44196";"5.4607999999999999";"5.4607999999999999"
"16";16;"2021-12-30";"11.802250000000001";"11.802300000000001";NA;"2021-12-30";"11.103949999999999";"11.103999999999999";NA;"2021-12-30";"10.675800000000001";"10.675800000000001";NA;"44165";"6.62765";"6.6276999999999999"
"17";17;"2021-11-30";"11.62335";"11.6234";NA;"2021-11-30";"11.702400000000001";"11.702400000000001";NA;"2021-11-30";"11.434150000000001";"11.434200000000001";NA;"44134";"6.5055500000000004";"6.5056000000000003"
"18";18;"2021-10-30";"12.03375";"12.033799999999999";NA;"2021-10-30";"12.453749999999999";"12.453799999999999";NA;"2021-10-30";"12.22795";"12.228";NA;"44104";"6.2176999999999998";"6.2176999999999998"
"19";19;"2021-08-30";"8.0394500000000004";"8.0395000000000003";NA;"2021-09-30";"9.6988000000000003";"9.6988000000000003";NA;"2021-09-30";"10.237349999999999";"10.237399999999999";NA;"44074";"5.7453000000000003";"5.7453000000000003"
"20";20;"2021-07-30";"7.4391499999999997";"7.4391999999999996";NA;"2021-08-30";"9.0404499999999999";"9.0404999999999998";NA;"2021-08-30";"9.5837500000000002";"9.5838000000000001";NA;"44043";"4.76715";"4.7671999999999999"
"21";21;"2021-06-30";"6.6819499999999996";"6.6820000000000004";NA;"2021-07-30";"8.3986999999999998";"8.3986999999999998";NA;"2021-07-30";"8.7576999999999998";"8.7576999999999998";NA;"44012";"5.1048";"5.1048"
"22";22;"2021-05-30";"5.6893500000000001";"5.6894";NA;"2021-06-30";"7.6966999999999999";"7.6966999999999999";NA;"2021-06-30";"8.1026000000000007";"8.1026000000000007";NA;"43980";"5.3278999999999996";"5.3278999999999996"
"23";23;"2021-04-30";"5.2271999999999998";"5.2271999999999998";NA;"2021-05-30";"6.8422000000000001";"6.8422000000000001";NA;"2021-05-30";"8.0046499999999998";"8.0046999999999997";NA;"43951";"5.91425";"5.9142999999999999"
